Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4297.34/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,
0x1bd02fa1779b66f84bb82246862643aca905964c6c365282739d3e2d421e249c,9698046,1637753971,2021-11-24 11:39:31,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x2dcb195a45066d9dab314c5b75e57c74bd5150fe,0,0,0,0.010360774,44.523768541,,,,Accepire-BT Contract,
0x2e85b78a4286f269c9d90ff7bf964fc77555c63fc24812e6cf0c73b546a19a4e,9698047,1637753986,2021-11-24 11:39:46,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x2dcb195a45066d9dab314c5b75e57c74bd5150fe,,0,0,0,0.000224110000112055,0.963076867881538000,,,,Set Sales Agreement,
0xcd364a364b7229975b416577b927bba0183eac850b0eccf178de1e1aceedeb39,9698048,1637754001,2021-11-24 11:40:01,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x2dcb195a45066d9dab314c5b75e57c74bd5150fe,,0,0,0,0.00038326,1.64699853,,,,Add Order,
0x0fbe0661ffe9c69e6515a307902b5e84ae1cd789c3631dbbc9bb281421b4f0ad,9698049,1637754016,2021-11-24 11:40:16,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x2dcb195a45066d9dab314c5b75e57c74bd5150fe,,0,0,0,0.000241012,1.035710508,,,,Create Invoice,
0xc2649567c1eb36938220fd02261a8442ea2ff78837ed21a70c5ea394c2ea646d,9698050,1637754031,2021-11-24 11:40:31,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x2dcb195a45066d9dab314c5b75e57c74bd5150fe,,0,0,0,0.000093206,0.400537872,,,,Confirm Invoice,
0x8cbeaef762f65baa30a7e89d8f4513ee1fd4cc2385fc3e222590fd94a75f963a,9698051,1637754046,2021-11-24 11:40:46,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x2dcb195a45066d9dab314c5b75e57c74bd5150fe,,0,0,0,0.000098278,0.422333981,,,,Confirm Order,
0xfa73af6d97ebd0fc3f074eaafb9f6104bc63dc777a26d0f5b433dbbb4bed50c4,9698053,1637754076,2021-11-24 11:41:16,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x2dcb195a45066d9dab314c5b75e57c74bd5150fe,,0,0,0,0.00020843250166746,0.89570532671564300,,,,Set Financial Agreement Parties,
0x442493e9ab4135f19ec62472a7f9f61ebd4fdb27be4d574862d1d26397f63772,9698054,1637754091,2021-11-24 11:41:31,0x9049ce69906d3cd891556810c39f09ea921fc087,0x2dcb195a45066d9dab314c5b75e57c74bd5150fe,,0,0,0,0.000059396000712752,0.255244809702938000,,,,Confirm Financial Agreement,
0xc76a876dfe58e5c03aa4e20f5ba8c0508982acabf5eea106312f7f8b5958f604,9698055,1637754106,2021-11-24 11:41:46,0x9049ce69906d3cd891556810c39f09ea921fc087,0x2dcb195a45066d9dab314c5b75e57c74bd5150fe,,0,0,0,0.000278358,1.196198968,,,,Set LC Agreement,
0x4b7d49d7577faf7382291dc0aeba1979e63160287f13d70b3efe2101500fdf34,9698056,1637754121,2021-11-24 11:42:01,0x9049ce69906d3cd891556810c39f09ea921fc087,0x2dcb195a45066d9dab314c5b75e57c74bd5150fe,,0,0,0,0.000107434,0.461680426,,,,Add Document,
0xac7e02c5805dd8fa3c7815f0af6fc5b86c0a2d4e31249da5cfb1a6fcdd9da49d,9698058,1637754151,2021-11-24 11:42:31,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x2dcb195a45066d9dab314c5b75e57c74bd5150fe,,0,0,0,0.000119302500572652,0.512683407810880000,,,,Validate Document,
0x6662d05f2b089441ec2092e7e53e390c848a40cb23cd6f9a6bfd4c79c161bf9f,9698059,1637754166,2021-11-24 11:42:46,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x2dcb195a45066d9dab314c5b75e57c74bd5150fe,,0,0,0,0.000377736004532832,1.623260041719120000,,,,Set Shipping Agreement,
0x254f92566ae6af49db4fb4627af73780241895de93db7e21e745f2765bc12c9c,9698060,1637754181,2021-11-24 11:43:01,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x2dcb195a45066d9dab314c5b75e57c74bd5150fe,,0,0,0,0.000073617500382811,0.316359429095069000,,,,Verify Goods,
0xfd8bfb61999099ee961706325ef331f8bb658cbbaa2f34140806d963ef12e5e9,9698062,1637754211,2021-11-24 11:43:31,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x2dcb195a45066d9dab314c5b75e57c74bd5150fe,,0,0,0,0.000085005000442026,0.365295388599536000,,,,Verify Goods,
0x9c269546e3ca553dfe6b75c76eb81dbf8273def113dd8805b8bba9847ad78a14,9698063,1637754226,2021-11-24 11:43:46,0x209b153a796c1924b675e5cd9476384cd38e9387,0x2dcb195a45066d9dab314c5b75e57c74bd5150fe,,0,0,0,0.000065057999967471,0.279576345580212000,,,,Initiate Shipment,
0x9ff12476a6a25df82653cd203b246c7cb089ca5364565e9abd58c10066a334f1,9698064,1637754241,2021-11-24 11:44:01,0xe323b722518c16b903eb840d6ee00c504bfec25b,0x2dcb195a45066d9dab314c5b75e57c74bd5150fe,,0,0,0,0.00006407528996595,0.27535330658227600,,,,Verify Goods,
0x9828759289409d9d5c95378661d16e0239c6263a0f2c817ae66f8d4720a601c2,9698065,1637754256,2021-11-24 11:44:16,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x2dcb195a45066d9dab314c5b75e57c74bd5150fe,,0,0,0,0.000059592,0.256087085,,,,Confirm Shipment,
0xa65235d75f2cabd701bad3a457383330cc65a3d1beb28823134e8012a7677d95,9698066,1637754271,2021-11-24 11:44:31,0x9049ce69906d3cd891556810c39f09ea921fc087,0x2dcb195a45066d9dab314c5b75e57c74bd5150fe,,0,0,0,0.000230682002768184,0.991318997775828000,,,,Set Payment Agreement,
0xfa1568225a63e0ec1807247ed9847569de7fa2230153fb20e93d2a2b65c767b0,9698067,1637754286,2021-11-24 11:44:46,0x9049ce69906d3cd891556810c39f09ea921fc087,0x2dcb195a45066d9dab314c5b75e57c74bd5150fe,,0,0,0,0.000064116000769392,0.275528254746339000,,,,Initiate Payment,
0xf94bf21b61e6271d56543d086d3fc8629edd160de8822e6d73d7bf4f0584b936,9698068,1637754301,2021-11-24 11:45:01,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x2dcb195a45066d9dab314c5b75e57c74bd5150fe,,0,0,0,0.000059704,0.256568387,,,,Processpayment,
0x3e2cb9fd1b344fc4dc7912ca73ea2890fd9f32253e721b9be6aea7da16af7879,9698069,1637754316,2021-11-24 11:45:16,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x2dcb195a45066d9dab314c5b75e57c74bd5150fe,,0,0,0,0.000075587500393055,0.324825188939091000,,,,Payment Received,
