Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4326.83/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,
0x98b3839aed0fcfe32c016eac95c63938bf5637122769ce746a4ab829de39ce5f,9701334,1637803305,2021-11-25 01:21:45,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xa8eee4fd07754ca3d323f8ef4104d21b50ac6305,0,0,0,0.010360773725439500,44.829306578443400000,,,,Accepire-BT Contract,
0xb4c5784a2d6cc27a3185e6cf03e4f5649dc902bce7a9e754a9c9ba2aa3c3cd1e,9701335,1637803320,2021-11-25 01:22:00,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xa8eee4fd07754ca3d323f8ef4104d21b50ac6305,,0,0,0,0.000224109994061085,0.969685845603324000,,,,Set Sales Agreement,
0x560056bae3db04ff0c166790a3016b5b0e8622786da0928af44e340a1d79e5e5,9701336,1637803335,2021-11-25 01:22:15,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xa8eee4fd07754ca3d323f8ef4104d21b50ac6305,,0,0,0,0.00038325999980837,1.65830086497085000,,,,Add Order,
0xa930c81605bab58971f2495aee15842c9583bff866b3fe36687f6cb38a9b049c,9701337,1637803350,2021-11-25 01:22:30,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xa8eee4fd07754ca3d323f8ef4104d21b50ac6305,,0,0,0,0.000241012,1.042817952,,,,Create Invoice,
0x9d8f44995f52e57bf8b47825615190e2f03551ed8a87ca871e449291d8043fba,9701338,1637803365,2021-11-25 01:22:45,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xa8eee4fd07754ca3d323f8ef4104d21b50ac6305,,0,0,0,0.000085066599498191,0.368068714706758000,,,,Confirm Invoice,
0x02b2283d73c3ec7ec9835d72f35804bf69e9f41873728d6d431c8b54e1fa861c,9701339,1637803380,2021-11-25 01:23:00,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xa8eee4fd07754ca3d323f8ef4104d21b50ac6305,,0,0,0,0.000089695676946583,0.388097945882784000,,,,Confirm Order,
0x86a3d3fb87530dd3974d7e707a81c9cb4fa6e04f0071c36e80607e8bbd8f1c4b,9701341,1637803410,2021-11-25 01:23:30,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xa8eee4fd07754ca3d323f8ef4104d21b50ac6305,,0,0,0,0.000138955001528505,0.601234669263581000,,,,Set Financial Agreement Parties,
0xe5c5de211bbdb4e8ddb572a0a7f58fb8ee14f7f0127f540a31c162b656716702,9701342,1637803425,2021-11-25 01:23:45,0x9049ce69906d3cd891556810c39f09ea921fc087,0xa8eee4fd07754ca3d323f8ef4104d21b50ac6305,,0,0,0,0.000059395999970302,0.256996394551502000,,,,Confirm Financial Agreement,
0x4b72a8faeec4e73ee02b6f4568575deb5f30f1554d54098b73439f9c774a48e3,9701343,1637803440,2021-11-25 01:24:00,0x9049ce69906d3cd891556810c39f09ea921fc087,0xa8eee4fd07754ca3d323f8ef4104d21b50ac6305,,0,0,0,0.000278357999860821,1.204407744537800000,,,,Set LC Agreement,
0xc31f002566740c9539cdd090f0f162fadb3a6405bc7a7ec9f62a87911bdde083,9701344,1637803455,2021-11-25 01:24:15,0x9049ce69906d3cd891556810c39f09ea921fc087,0xa8eee4fd07754ca3d323f8ef4104d21b50ac6305,,0,0,0,0.000107434,0.464848654,,,,Add Document,
0x76b0f924eb2dea17cfc76023c75cf7be587f55db606b43edfa8e5c98c490b9b5,9701346,1637803485,2021-11-25 01:24:45,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xa8eee4fd07754ca3d323f8ef4104d21b50ac6305,,0,0,0,0.000095442,0.412961309,,,,Validate Document,
0x504be3e4b5a9206747d8def1fa062fad4bac1a888943fa38521d43c3e6aa2471,9701347,1637803500,2021-11-25 01:25:00,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xa8eee4fd07754ca3d323f8ef4104d21b50ac6305,,0,0,0,0.000283302001699812,1.225799600014800000,,,,Set Shipping Agreement,
0xab67183ea05bc1058a16ddb3549d722a41e3b23b9b8723403ac8c4fa840e4d8e,9701348,1637803515,2021-11-25 01:25:15,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0xa8eee4fd07754ca3d323f8ef4104d21b50ac6305,,0,0,0,0.000035336400323917,0.152894597013534000,,,,Verify Goods,
