Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4509.11/ETH,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,
0xead88c7dfc704ad9b03210eeb478c2ab033e0dad6caf27985ef30023b26ba27d,9707134,1637890337,2021-11-26 01:32:17,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x64951725620b43f7b42352a97609f291496f64c7,0,0,0,0.010360774,46.717869651,,,,Accepire-BT Contract,
0x43904af787223356f35ab4d7113ce490fe6057aafd3cba2c64505b6dda4d8bc0,9707135,1637890352,2021-11-26 01:32:32,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x64951725620b43f7b42352a97609f291496f64c7,,0,0,0,0.00022411,1.01053664,,,,Set Sales Agreement,
0xc495108b97da2949a5c1d646b03fc00d7ee26a8ed1a4d250f99adcdd31d13905,9707136,1637890367,2021-11-26 01:32:47,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x64951725620b43f7b42352a97609f291496f64c7,,0,0,0,0.00038326,1.72816150,,,,Add Order,
0xff590c6e56a59f1b62eca5fdd115db0216a52a0233c82c7ee1a50ebb282df192,9707137,1637890382,2021-11-26 01:33:02,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x64951725620b43f7b42352a97609f291496f64c7,,0,0,0,0.000180759,0.815062214,,,,Create Invoice,
0x3b8e952e9486c9210a67537aed4c802c4db5823140f2d8ba13b56ff5f203ee71,9707139,1637890412,2021-11-26 01:33:32,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x64951725620b43f7b42352a97609f291496f64c7,,0,0,0,0.000069904500419427,0.315207081886242000,,,,Confirm Invoice,
0x7daaa249c16a708721d07531eb61121b3dca5da386d713b282e853c79c15d1b8,9707139,1637890412,2021-11-26 01:33:32,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x64951725620b43f7b42352a97609f291496f64c7,,0,0,0,0.000073708500442251,0.332359736429158000,,,,Confirm Order,
0x463b9aaf45ac151e1a532be64c14aecbcd347f977622c66bb088e0ca6b1c1fe0,9707141,1637890442,2021-11-26 01:34:02,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x64951725620b43f7b42352a97609f291496f64c7,,0,0,0,0.00027791,1.25312676,,,,Set Financial Agreement Parties,
0xa58cab040dccfaad24fce693e580e92d87b903e3fd9aa9ccc482932eab1705bc,9707142,1637890457,2021-11-26 01:34:17,0x9049ce69906d3cd891556810c39f09ea921fc087,0x64951725620b43f7b42352a97609f291496f64c7,,0,0,0,0.000065335600534564,0.294605409726408000,,,,Confirm Financial Agreement,
0xc32a5bc71305c14bce6681ed8809cb1abbfecd29be44873f1bfc2a316936e7e9,9707143,1637890472,2021-11-26 01:34:32,0x9049ce69906d3cd891556810c39f09ea921fc087,0x64951725620b43f7b42352a97609f291496f64c7,,0,0,0,0.000278358,1.255146841,,,,Set LC Agreement,
0xe04df152e38535159f55b48cc5ed76e25c75ed4c23109cbdce501e60ede6ad25,9707144,1637890487,2021-11-26 01:34:47,0x9049ce69906d3cd891556810c39f09ea921fc087,0x64951725620b43f7b42352a97609f291496f64c7,,0,0,0,0.000107434,0.484431724,,,,Add Document,
