Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $0/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,TxnFee(USD),Method
0x2ff82ea3cd9a81aad6b528c9be83c2c16b7f2c56c4999f16b67475a9118abfdc,9188505,1630069421,8/27/21 1:03 PM,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x14c58a36ffe319e260f3332af8740ee0a66e3d76,0,0,0,0.002714626,8.645305819,,,8.645305819,0x60806040
0x83b2cdc775e27c4a600467fe3c573cb8f3809d29c460dd08eb08d1a06a80585c,9194495,1630159380,8/28/21 2:03 PM,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x14c58a36ffe319e260f3332af8740ee0a66e3d76,,0,0,0,0.000118148,0.376267519,,,0.376267519,Set Sales Contract
0xe941df54f2f9e59ec9fe7548392dad660077e73a3b17680960a1e4813f718426,9194609,1630161093,8/28/21 2:31 PM,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x14c58a36ffe319e260f3332af8740ee0a66e3d76,,0,0,0,0.000189533,0.603608286,,,0.603608286,Add Order
0xa0c31d3c6ca1d07e2773f7f81e8dd6a9311378e5db4e1e8aeb737f6449eb1b18,9194621,1630161273,8/28/21 2:34 PM,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x14c58a36ffe319e260f3332af8740ee0a66e3d76,,0,0,0,0.000124752,0.397299366,,,0.397299366,Create Invoice
0xe02ffc828c972049e59afdb8ee987888366d06d366c512ca92ca0033993cb664,9194624,1630161318,8/28/21 2:35 PM,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x14c58a36ffe319e260f3332af8740ee0a66e3d76,,0,0,0,4.63E-05,0.147528664,,,0.147528664,Confirm Invoice
0x560d9c5beffdfbff9c4efdfe475d68a2d862a808df3bdfaff1a4e79d15bc55f0,9194626,1630161348,8/28/21 2:35 PM,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x14c58a36ffe319e260f3332af8740ee0a66e3d76,,0,0,0,5.06E-05,0.16128981,,,0.16128981,Confirm Order
0xb2fcf98169c7e02070ff2f31456505a789811c25b662014ddbb1cc4b77d457c6,9194632,1630161439,8/28/21 2:37 PM,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x14c58a36ffe319e260f3332af8740ee0a66e3d76,,0,0,0,0.000138326,0.440528666,,,0.440528666,Set Financial Agreement Parties
0xe42798c4e5e862d1da11cacee599e12347ac295eae9734e47914ad7d0d1030fd,9194658,1630161830,8/28/21 2:43 PM,0x9049ce69906d3cd891556810c39f09ea921fc087,0x14c58a36ffe319e260f3332af8740ee0a66e3d76,,0,0,0,0.000138239,0.440251596,,,0.440251596,Set LC Agreement
0x0722c6a38e76b58e0a06dd79e5f23e748825e14959ae97555265b60d399623fa,9194668,1630161980,8/28/21 2:46 PM,0x9049ce69906d3cd891556810c39f09ea921fc087,0x14c58a36ffe319e260f3332af8740ee0a66e3d76,,0,0,0,7.35E-05,0.233942677,,,0.233942677,Add Document
0xa0f0478a09e83c051ecc08a0ba587b28b1b5461de1d08bbb750374857fd79a9f,9194674,1630162070,8/28/21 2:47 PM,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x14c58a36ffe319e260f3332af8740ee0a66e3d76,,0,0,0,4.72E-05,0.150175161,,,0.150175161,Validate Document
