Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4039.63/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,
0x2e086690f00c83698f5b1d49535a5556d55e11f89118050edb86061a20ebe360,9716226,1638026749,2021-11-27 15:25:49,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x6bf7ca18c50cc5cdbae6bd85f0a8fb87738ae865,0,0,4039.63,0.005335803075493590,21.5546701778562,,,,Accepire-BT Contract,
0x9de14c6b3f851c3b44d4702ee865601c99f9e65123d3149e8d99daf03dc738da,9716227,1638026764,2021-11-27 15:26:04,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x6bf7ca18c50cc5cdbae6bd85f0a8fb87738ae865,,0,0,4039.63,0.00011541677819092,0.466241079683386,,,,Set Sales Agreement,
0x3171e40fc326f9129d1ef3190d5f4e1d0347d24162b48d781f3d561eb1a7287c,9716228,1638026779,2021-11-27 15:26:19,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x6bf7ca18c50cc5cdbae6bd85f0a8fb87738ae865,,0,0,4039.63,0.00019737891935463,0.797337803992544,,,,Add Order,
0xbd626a3777b19cfa7f812fb0c62368c37a3691c534a754ecbb696be596faf4fe,9716229,1638026794,2021-11-27 15:26:34,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x6bf7ca18c50cc5cdbae6bd85f0a8fb87738ae865,,0,0,4039.63,0.00012412120892144,0.501403759195317,,,,Create Invoice,
0xd7f96bd2fb050b5847fd6b9e9c8e1d7ebc6068be7c825bd00b658665adc8dd20,9716231,1638026824,2021-11-27 15:27:04,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x6bf7ca18c50cc5cdbae6bd85f0a8fb87738ae865,,0,0,4039.63,0.00004800115011787,0.193906886050651,,,,Confirm Invoice,
0x81079403f4ef2e290c5fa1494fe9c53cfa6bb7f00e4d4acc1149d53e16cc1a9e,9716232,1638026839,2021-11-27 15:27:19,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x6bf7ca18c50cc5cdbae6bd85f0a8fb87738ae865,,0,0,4039.63,0.000050613199925651,0.204458600815658,,,,Confirm Order,
0x3ae5adf43652388492945d7c540d73c38477275f3ea1a751febc2eb1847c0dd2,9716234,1638026869,2021-11-27 15:27:49,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x6bf7ca18c50cc5cdbae6bd85f0a8fb87738ae865,,0,0,4039.63,0.00014312360998096,0.578166428587385,,,,Set Financial Agreement Parties,
0x63c903c40b0685568dd04ba005663bf55abc9acf14365b32280e90c1db673f57,9716235,1638026884,2021-11-27 15:28:04,0x9049ce69906d3cd891556810c39f09ea921fc087,0x6bf7ca18c50cc5cdbae6bd85f0a8fb87738ae865,,0,0,4039.63,0.000030588985942806,0.123568185284137,,,,Confirm Financial Agreement,
0xbce9348a7f73d8d3d93f538ffefe28d8a294196683412c1f244e38968ab38bf3,9716237,1638026914,2021-11-27 15:28:34,0x9049ce69906d3cd891556810c39f09ea921fc087,0x6bf7ca18c50cc5cdbae6bd85f0a8fb87738ae865,,0,0,4039.63,0.000347949650593908,1.40558784702867,,,,Set LC Agreement,
0xeeebf9ac8b2a84859705323f2bf50b13f4b1dd0614d678d75b7b3047ab6c1f06,9716238,1638026929,2021-11-27 15:28:49,0x9049ce69906d3cd891556810c39f09ea921fc087,0x6bf7ca18c50cc5cdbae6bd85f0a8fb87738ae865,,0,0,4039.63,0.000055328523644118,0.223506763968488,,,,Add Document,
0x756ae45f051bb746b58b06f6c6bd3efe0aa71409a48015e2e069cbbf28c439b3,9716240,1638026959,2021-11-27 15:29:19,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x6bf7ca18c50cc5cdbae6bd85f0a8fb87738ae865,,0,0,4039.63,0.000049152613440813,0.198558371833911,,,,Validate Document,
