Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4039.87/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,
0x8ee58bf542f2255e28ecb71a0d87bec2f5dbcab8442a720138aeb86d94dbcd8b,9719377,1638074022,2021-11-28 04:33:42,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xfaa7f6d155a4e4371a38e0fd10243550a15fc007,0,0,4039.87,0.007770580541443100,31.3921352119597,,,,Accepire-BT Contract,
0xcaac871bd2243db37b6ba8ba8156fc7f3190c3c58da2e4d7951edef0eafb7b6c,9719378,1638074037,2021-11-28 04:33:57,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xfaa7f6d155a4e4371a38e0fd10243550a15fc007,,0,0,4039.87,0.00016808250089644,0.679031452896501,,,,Set Sales Agreement,
0x3c23f1ed3c8d6d2442b55e66121a940193aaaad561855f2cdf986e79bb4498af,9719379,1638074052,2021-11-28 04:34:12,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xfaa7f6d155a4e4371a38e0fd10243550a15fc007,,0,0,4039.87,0.00028744500153304,1.16124043834328,,,,Add Order,
0xcece17df43b70a587c6ed42ba1389e5d2c9f4c914dbb38b169ba135063f10a58,9719380,1638074067,2021-11-28 04:34:27,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xfaa7f6d155a4e4371a38e0fd10243550a15fc007,,0,0,4039.87,0.000180759000964048,0.730242865224629,,,,Create Invoice,
0xa79e04b2349fe03f609fe57e2f69994ae4261cd906700e9d2cc5623ddfea06f2,9719382,1638074097,2021-11-28 04:34:57,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xfaa7f6d155a4e4371a38e0fd10243550a15fc007,,0,0,4039.87,0.000069904500372824,0.28240509392116,,,,Confirm Invoice,
0x2222318a110da468f9b4ae796cbba0a76193aeec10ef08c79c94b549fae73160,9719383,1638074112,2021-11-28 04:35:12,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xfaa7f6d155a4e4371a38e0fd10243550a15fc007,,0,0,4039.87,0.0000835363,0.337475792281,,,,Confirm Order,
0x78faf0359804e65bb645e8e74ede014305fe590117b93713b0a5aff111f8dd90,9719385,1638074142,2021-11-28 04:35:42,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xfaa7f6d155a4e4371a38e0fd10243550a15fc007,,0,0,4039.87,0.000347387501250595,1.40340034467724,,,,Set Financial Agreement Parties,
0x806bf586a1be5b178e04ea4fca037e613bc87e038a46da2877ee3e471d8c3ebd,9719386,1638074157,2021-11-28 04:35:57,0x9049ce69906d3cd891556810c39f09ea921fc087,0xfaa7f6d155a4e4371a38e0fd10243550a15fc007,,0,0,4039.87,0.000074245000237584,0.299940149109808,,,,Confirm Financial Agreement,
0x79e388d43e4db17d341916696a3cf032799eb74055a8069cbc41409486ec623b,9719387,1638074172,2021-11-28 04:36:12,0x9049ce69906d3cd891556810c39f09ea921fc087,0xfaa7f6d155a4e4371a38e0fd10243550a15fc007,,0,0,4039.87,0.000298935732199539,1.20766149644095,,,,Set LC Agreement,
0xdab674ece3c723203a18f8a369e525c77dd8a016e65f00b007cd6a1df1988bf7,9719388,1638074187,2021-11-28 04:36:27,0x9049ce69906d3cd891556810c39f09ea921fc087,0xfaa7f6d155a4e4371a38e0fd10243550a15fc007,,0,0,4039.87,0.000053717000429736,0.217009698526078,,,,Add Document,
0x4c7ce0ee876513395d9b63be1fdda533dcaf3efb23b6f63e93ad9a80545a2274,9719390,1638074217,2021-11-28 04:36:57,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xfaa7f6d155a4e4371a38e0fd10243550a15fc007,,0,0,4039.87,0.000119302500381768,0.481966592217293,,,,Validate Document,
0xc77c827554f4b7dd4c1abe9a7dec2160c0fd2a5a71d4f1537002346b6f935e0b,9719392,1638074247,2021-11-28 04:37:27,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xfaa7f6d155a4e4371a38e0fd10243550a15fc007,,0,0,4039.87,0.000472170001510944,1.90750542400402,,,,Set Shipping Agreement,
0xd7ed603a99bff5d508055c61b84c60382bc17a8092891b639a239b4dba3d381b,9719393,1638074262,2021-11-28 04:37:42,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0xfaa7f6d155a4e4371a38e0fd10243550a15fc007,,0,0,4039.87,0.000073617500265023,0.297405130795658,,,,Verify Goods,
0xef27bf9b0508871c2dfc3b55bbbb44e3b6a6d6bb788a2b07cb04b18b0f74ce3a,9719394,1638074277,2021-11-28 04:37:57,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0xfaa7f6d155a4e4371a38e0fd10243550a15fc007,,0,0,4039.87,0.000051003000272016,0.206045490708909,,,,Verify Goods,
0x094ac2b82b77d1a88d3995178cb3c6022c7fbb0ba0af1271ccfc4e5beca2d6c0,9719395,1638074292,2021-11-28 04:38:12,0x209b153a796c1924b675e5cd9476384cd38e9387,0xfaa7f6d155a4e4371a38e0fd10243550a15fc007,,0,0,4039.87,0.000048793500260232,0.197119397896303,,,,Initiate Shipment,
0x7ff6e299e42999a1292f153e73873c05134c0af87403f531c50e7e8a6883d694,9719396,1638074307,2021-11-28 04:38:27,0xe323b722518c16b903eb840d6ee00c504bfec25b,0xfaa7f6d155a4e4371a38e0fd10243550a15fc007,,0,0,4039.87,0.0000510750002724,0.206336361350461,,,,Verify Goods,
0xd075952aac600142640acc236da6b9ac0909270d177d9890612231fed787d5e9,9719397,1638074322,2021-11-28 04:38:42,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xfaa7f6d155a4e4371a38e0fd10243550a15fc007,,0,0,4039.87,0.000044694000238368,0.180557950742976,,,,Confirm Shipment,
0xd509580b23463405d4b6f53c6894bb2cefd4774164623abe8574ea8fbff63b47,9719398,1638074337,2021-11-28 04:38:57,0x9049ce69906d3cd891556810c39f09ea921fc087,0xfaa7f6d155a4e4371a38e0fd10243550a15fc007,,0,0,4039.87,0.000173011500922728,0.698943972232701,,,,Set Payment Agreement,
0x3e3f23790456d317df3d8bfc56e11a4885f67a250f7556211489a2dcf1fd1c2d,9719399,1638074352,2021-11-28 04:39:12,0x9049ce69906d3cd891556810c39f09ea921fc087,0xfaa7f6d155a4e4371a38e0fd10243550a15fc007,,0,0,4039.87,0.000064116000512928,0.259020306992162,,,,Initiate Payment,
0x4dc128f084592a2ac97467d4409f7c8fe544aad82d67e768753d3588616f4f54,9719400,1638074367,2021-11-28 04:39:27,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xfaa7f6d155a4e4371a38e0fd10243550a15fc007,,0,0,4039.87,0.000044778000238816,0.180897299824786,,,,Processpayment,
0x1e229986a344e8b46d5bcd55316a4d79388fe4f235b5883635c7fa4b6146bd3a,9719401,1638074382,2021-11-28 04:39:42,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xfaa7f6d155a4e4371a38e0fd10243550a15fc007,,0,0,4039.87,0.00003023500024188,0.122145470427164,,,,Payment Received,
