Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $0/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,
0x82e37cdcbd65c494abcf0f7cf3e86721b33aacbccf04a4a405d4e723c913de99,9724414,1638149602,2021-11-29 01:33:22,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x6920480b9dfbbd10f8d3420422af7ac1fbb68a65,0,0,4338.93,0.005180387041443100,22.4773367457287,,,,Accepire-BT Contract,
0xa7ff8fe40fb83c82b3b48dd9aac7036e6897d262fffcf6b2bec33f136827cf9f,9724415,1638149617,2021-11-29 01:33:37,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x6920480b9dfbbd10f8d3420422af7ac1fbb68a65,,0,0,4338.93,0.00011205500089644,0.48619880503959,,,,Set Sales Agreement,
0x19cbd786de54189c93f3026eebf9983197ea13d2cc7fd29fa75a9479b996ba05,9724416,1638149632,2021-11-29 01:33:52,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x6920480b9dfbbd10f8d3420422af7ac1fbb68a65,,0,0,4338.93,0.00028744500153304,1.24720374050175,,,,Add Order,
0x15f8d2117a6152e161230f9a2d6ed2e0f3edf276a840c84408b1d74fae089eeb,9724417,1638149647,2021-11-29 01:34:07,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x6920480b9dfbbd10f8d3420422af7ac1fbb68a65,,0,0,4338.93,0.000241012,1.04573419716,,,,Create Invoice,
0x584545a1349ad99699679b92ecd5a62e2c2351b01dc2c0226823a1c027b477c3,9724418,1638149662,2021-11-29 01:34:22,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x6920480b9dfbbd10f8d3420422af7ac1fbb68a65,,0,0,4338.93,0.000116507500372824,0.505517888592657,,,,Confirm Invoice,
0xb51fbfef51893606fa64c979bc6fba7f2f79aad1733301f7a7e1efdb4b19953d,9724419,1638149677,2021-11-29 01:34:37,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x6920480b9dfbbd10f8d3420422af7ac1fbb68a65,,0,0,4338.93,0.000122847500393112,0.533026704880685,,,,Confirm Order,
0x78bb1ffefdeb52791c952653d649b9a74f4e9d04cd3c3847850a903482286d97,9724421,1638149707,2021-11-29 01:35:07,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x6920480b9dfbbd10f8d3420422af7ac1fbb68a65,,0,0,4338.93,0.00034738750111164,1.50729005019833,,,,Set Financial Agreement Parties,
0x0d92da61ca56b839a6c8a409d3ff649f6e391852478606bb65767703a9572742,9724422,1638149722,2021-11-29 01:35:22,0x9049ce69906d3cd891556810c39f09ea921fc087,0x6920480b9dfbbd10f8d3420422af7ac1fbb68a65,,0,0,4338.93,0.000074245000237584,0.32214385888086,,,,Confirm Financial Agreement,
0xe19c91bcbc9758b198f994e8e57ae31b163dcae65c0f4c8ca6d74771af51c38c,9724423,1638149737,2021-11-29 01:35:37,0x9049ce69906d3cd891556810c39f09ea921fc087,0x6920480b9dfbbd10f8d3420422af7ac1fbb68a65,,0,0,4338.93,0.000139179001113432,0.603887943301104,,,,Set LC Agreement,
0x2e066a048a075bd8f410b57b82a69859e90365269a7e642c3d479b93c03d9a53,9724424,1638149752,2021-11-29 01:35:52,0x9049ce69906d3cd891556810c39f09ea921fc087,0x6920480b9dfbbd10f8d3420422af7ac1fbb68a65,,0,0,4338.93,0.000053717000483453,0.233074304907669,,,,Add Document,
0x639844bafd276b0ed64668744fb73108a8f26a82edcab923bf44be0f1b267f2a,9724426,1638149782,2021-11-29 01:36:22,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x6920480b9dfbbd10f8d3420422af7ac1fbb68a65,,0,0,4338.93,0.000047721000429489,0.207058080393523,,,,Validate Document,
0xa168111c3b1747b079c7b1d1f92973968cd991a79390c92beebed6241c15785a,9724427,1638149797,2021-11-29 01:36:37,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x6920480b9dfbbd10f8d3420422af7ac1fbb68a65,,0,0,4338.93,0.00018886800188868,0.81948503943485,,,,Set Shipping Agreement,
0x6d24831a8e4440bc94af548ff7638efab7519dcf3c5da831185bdae037897e85,9724428,1638149812,2021-11-29 01:36:52,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x6920480b9dfbbd10f8d3420422af7ac1fbb68a65,,0,0,4338.93,0.00002944700029447,0.127768472987685,,,,Verify Goods,
0xf7676e3f037c2d7b5e6d2b659c95081786bbf89839b10cde8f03fc06a3c68427,9724429,1638149827,2021-11-29 01:37:07,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x6920480b9dfbbd10f8d3420422af7ac1fbb68a65,,0,0,4338.93,0.00008500500034002,0.368830746125323,,,,Verify Goods,
0x10622cfa9470c4a8b2fc6b866fb34dd54a5711abdee79d9621b4ba1ca56cdeb7,9724430,1638149842,2021-11-29 01:37:22,0x209b153a796c1924b675e5cd9476384cd38e9387,0x6920480b9dfbbd10f8d3420422af7ac1fbb68a65,,0,0,4338.93,0.000032529000292761,0.141141055240269,,,,Initiate Shipment,
0x8b930289e33609f51c101d6e2ab44df6a5454cf5e12c61eb29aa3404c6bb4c98,9724431,1638149857,2021-11-29 01:37:37,0xe323b722518c16b903eb840d6ee00c504bfec25b,0x6920480b9dfbbd10f8d3420422af7ac1fbb68a65,,0,0,4338.93,0.0000340500003405,0.147740567977406,,,,Verify Goods,
0x3ca33fa3758eddd4d96aed59abdc18afba0732ad1a7767f3471ab491c8051ed7,9724432,1638149872,2021-11-29 01:37:52,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x6920480b9dfbbd10f8d3420422af7ac1fbb68a65,,0,0,4338.93,0.00002979600029796,0.129282759572828,,,,Confirm Shipment,
