Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $0/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,
0xf1907f8b0e8be71e9a7b17680a5825f91173bb0ee47b67e786c05c730f67e8a7,9727670,1638198461,2021-11-29 15:07:41,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x8f7d65e892e673807347b30106cae4a6ffff935c,0,0,4609.25,0.007770608738289540,35.8166783269611,,,,Accepire-BT Contract,
0x93cb417d90d1fca51059b230af1e976719470a015fdb8c0093f542b3b4be4031,9727671,1638198476,2021-11-29 15:07:56,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x8f7d65e892e673807347b30106cae4a6ffff935c,,0,0,4609.25,0.000168084826597965,0.77474498699667,,,,Set Sales Agreement,
0x9d680e4a89926bd59ba01274fdbb06f7467dc62b8dec4a78d6139cac6164ec4c,9727673,1638198506,2021-11-29 15:08:26,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x8f7d65e892e673807347b30106cae4a6ffff935c,,0,0,4609.25,0.00038326211329564,1.76655089570793,,,,Add Order,
0x6487de14abc82caaddf2fbaa537fe4663325cab62d671738c1d98b9808f36e83,9727674,1638198521,2021-11-29 15:08:41,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x8f7d65e892e673807347b30106cae4a6ffff935c,,0,0,4609.25,0.000180805071974426,0.833375777998123,,,,Create Invoice,
0x296de7c7c9f7fa11bd1b97437f50bc916d7995aced9b940bf9dd627abf892ecb,9727675,1638198536,2021-11-29 15:08:56,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x8f7d65e892e673807347b30106cae4a6ffff935c,,0,0,4609.25,0.000069905626068289,0.322212506955261,,,,Confirm Invoice,
0xa157290f2ab9f476f966aa6eaa1a37c41754a213c31bf6c4321b2714ebb88456,9727676,1638198551,2021-11-29 15:09:11,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x8f7d65e892e673807347b30106cae4a6ffff935c,,0,0,4609.25,0.00012286982089936,0.566337721980375,,,,Confirm Order,
0x758478dd8d9985e2a8d0a6193fd333cf57b077cb4869b34d377e19276ac2df66,9727678,1638198581,2021-11-29 15:09:41,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x8f7d65e892e673807347b30106cae4a6ffff935c,,0,0,4609.25,0.00020842820434513,0.96069770087779,,,,Set Financial Agreement Parties,
0x84d2d14e7988c36cfaaf0acb98d28520649f3b4d91da69569139f6d4ed92125a,9727679,1638198596,2021-11-29 15:09:56,0x9049ce69906d3cd891556810c39f09ea921fc087,0x8f7d65e892e673807347b30106cae4a6ffff935c,,0,0,4609.25,0.000044547190304784,0.205329136912326,,,,Confirm Financial Agreement,
0x0baecdaefdd5f3dd68438232233568d991cfd7a36d3d365d197c82d52b89fc9a,9727680,1638198611,2021-11-29 15:10:11,0x9049ce69906d3cd891556810c39f09ea921fc087,0x8f7d65e892e673807347b30106cae4a6ffff935c,,0,0,4609.25,0.00020881737270585,0.962491475144439,,,,Set LC Agreement,
0xbba09efaedc8b17a737788c3d041564742a35e32a8866bd9e1f5dee231b8be0e,9727681,1638198626,2021-11-29 15:10:26,0x9049ce69906d3cd891556810c39f09ea921fc087,0x8f7d65e892e673807347b30106cae4a6ffff935c,,0,0,4609.25,0.000080575217394863,0.371391320777272,,,,Add Document,
